RUN,KERNEL,GAMMA,C,ACCURACY,TIME (sec)
1,linear,auto,1,87.065181,30.8479
2,poly,auto,1,84.397163,97.0913
3,sigmoid,auto,1,71.732523,49.5743
4,rbf,auto,1,89.294157,68.32
5,rbf,auto,2,89.868288,65.8114
6,rbf,auto,3,90.070922,65.2051
7,rbf,auto,4,90.138467,65.0499
8,rbf,auto,5,90.172239,65.7051
9,rbf,auto,6,90.206011,65.3032
10,rbf,auto,7,90.239784,65.8005
11,rbf,auto,8,90.239784,65.2831
12,rbf,auto,9,90.239784,65.0284
13,rbf,auto,10,90.239784,65.6276
14,rbf,0.1,7,12.495778,585.1244
15,rbf,10,7,7.39615,580.825
16,rbf,0.0001,7,88.787572,41.243
17,rbf,0.0002,7,89.564336,48.4148
18,rbf,0.0003,7,90.003377,57.4254
19,rbf,0.0004,7,90.239784,68.6807
20,rbf,0.0005,7,90.47619,77.2498
21,rbf,0.0006,7,90.813914,88.5162
22,rbf,0.0007,7,90.61128,96.9574
23,rbf,0.0008,7,90.307329,108.9071
24,rbf,0.0009,7,90.00377,118.492
25,rbf,0.001,7,89.463019,128.5701
26,rbf,0.00051,7,90.543735,78.4666
27,rbf,0.00052,7,90.61128,79.4629
28,rbf,0.00053,7,90.61128,81.6273
29,rbf,0.00054,7,90.678825,81.3374
30,rbf,0.00055,7,90.746369,81.2033
31,rbf,0.00056,7,90.712597,81.5717
32,rbf,0.00057,7,90.813914,81.5132
33,rbf,0.00058,7,90.813914,83.6061
34,rbf,0.00059,7,90.780142,82.8313
35,rbf,0.0006,7,90.813914,84.0516
